model,native_language,mean,sem,count,dataset,stage,release_date
MMS 1B All,USA,0.0,,1,L2-Arctic Spontaneous,degradation,2023-05
MMS 1B All,Vietnamese,0.3167420814479638,0.13805231376856733,4,L2-Arctic Spontaneous,degradation,2023-05
OWSM 1.0 272M,Arabic,0.10171568627450979,0.054709593837131656,3,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,Chinese,0.14285714285714285,0.08150633296207829,4,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,Hindi,0.046031746031746,0.023056887375133235,3,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,Korean,0.2941433566433566,0.07329594538173481,4,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,Spanish,0.14322344322344321,0.05847168199018881,4,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,USA,0.1294117647058823,,1,L2-Arctic Spontaneous,degradation,2023-09
OWSM 1.0 272M,Vietnamese,0.20361990950226241,0.0647338272515081,4,L2-Arctic Spontaneous,degradation,2023-09
OWSM 2.0 739M,Arabic,0.0821078431372549,0.05536449508861038,3,L2-Arctic Spontaneous,degradation,2023-10
OWSM 2.0 739M,Chinese,0.14285714285714285,0.06355403721447209,4,L2-Arctic Spontaneous,degradation,2023-10
OWSM 2.0 739M,Hindi,0.07167277167277163,0.00296328720378795,3,L2-Arctic Spontaneous,degradation,2023-10
